"","year","month","mean_temp_ger"
"463",1917,"04",4.33
"464",1918,"04",9
"465",1919,"04",5.55
"466",1920,"04",9.37
"467",1921,"04",7.77
"468",1922,"04",5.54
"469",1923,"04",6.82
"470",1924,"04",6.33
"471",1925,"04",8.15
"472",1926,"04",9.67
"473",1927,"04",7.11
"474",1928,"04",7.48
"475",1929,"04",4.45
"476",1930,"04",8.28
"477",1931,"04",5.79
"478",1932,"04",6.96
"479",1933,"04",7.03
"480",1934,"04",10.33
"481",1935,"04",7.3
"482",1936,"04",6.22
"483",1937,"04",8.02
"484",1938,"04",4.99
"485",1939,"04",8.64
"486",1940,"04",7.89
"487",1941,"04",5.49
"488",1942,"04",7.48
"489",1943,"04",9.26
"490",1944,"04",8.6
"491",1945,"04",8.84
"492",1946,"04",10.19
"493",1947,"04",9.4
"494",1948,"04",9.96
"495",1949,"04",10.26
"496",1950,"04",6.75
"497",1951,"04",7.28
"498",1952,"04",10.3
"499",1953,"04",9.04
"500",1954,"04",5.84
"501",1955,"04",6.93
"502",1956,"04",5.3
"503",1957,"04",7.46
"504",1958,"04",5.21
"505",1959,"04",9.4
"506",1960,"04",7.41
"507",1961,"04",10.57
"508",1962,"04",8.19
"509",1963,"04",8.41
"510",1964,"04",8.63
"511",1965,"04",6.67
"512",1966,"04",8.61
"513",1967,"04",6.47
"514",1968,"04",8.99
"515",1969,"04",6.99
"516",1970,"04",5.32
"517",1971,"04",8.2
"518",1972,"04",7.22
"519",1973,"04",5.14
"520",1974,"04",7.95
"521",1975,"04",6.77
"522",1976,"04",6.92
"523",1977,"04",5.65
"524",1978,"04",6.52
"525",1979,"04",6.34
"526",1980,"04",6.02
"527",1981,"04",7.79
"528",1982,"04",6.5
"529",1983,"04",8.56
"530",1984,"04",6.77
"531",1985,"04",7.62
"532",1986,"04",6.27
"533",1987,"04",9.07
"534",1988,"04",7.98
"535",1989,"04",7.15
"536",1990,"04",7.39
"537",1991,"04",7.05
"538",1992,"04",7.8
"539",1993,"04",10.36
"540",1994,"04",7.94
"541",1995,"04",8.48
"542",1996,"04",8.4
"543",1997,"04",6.36
"544",1998,"04",8.85
"545",1999,"04",8.9
"546",2000,"04",10.15
"547",2001,"04",7.1
"548",2002,"04",8.06
"549",2003,"04",8.5
"550",2004,"04",9.35
"551",2005,"04",9.26
"552",2006,"04",8.04
"553",2007,"04",11.52
"554",2008,"04",7.64
"555",2009,"04",11.83
"556",2010,"04",8.69
"557",2011,"04",11.59
"558",2012,"04",8.15
"559",2013,"04",8.1
"560",2014,"04",10.77
